"country","iso2","year","new_labconf","new_clindx","new_ep","ret_rel_labconf","ret_rel_clindx","ret_rel_ep","ret_nrel","ret_nrel_clindx","c_newunk","c_newinc","c_ret","c_notified","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","notif_foreign","rel_in_agesex_flg","agegroup_option","newrel_m04","newrel_m59","newrel_m1014","newrel_m514","newrel_m014","newrel_m1519","newrel_m2024","newrel_m1524","newrel_m2534","newrel_m3544","newrel_m4554","newrel_m5564","newrel_m65","newrel_m15plus","newrel_mu","newrel_f04","newrel_f59","newrel_f1014","newrel_f514","newrel_f014","newrel_f1519","newrel_f2024","newrel_f1524","newrel_f2534","newrel_f3544","newrel_f4554","newrel_f5564","newrel_f65","newrel_f15plus","newrel_fu","c_new_014","rdx_data_available","newinc_rdx","newinc_pulm_labconf_rdx","newinc_pulm_clindx_rdx","newinc_ep_rdx","nrr","nrr_tx","conf_rr_nfqr","conf_rr_nfqr_tx","unconf_rr_nfqr_tx","rr_nfqr_014_tx","conf_rr_fqr","conf_rr_fqr_tx","nrr_hpmz_used","nrr_hpmz_tx","nrr_2hrze2hr_used","nrr_2hrze2hr_tx","mdrxdr_bpalm_used","mdrxdr_bpalm_tx","mdrxdr_alloral_used","mdrxdr_alloral_tx","mdr_alloral_short_used","mdr_alloral_short_tx","mdr_tx_adsm","r_rlt_new","r_rlt_ret","rr_new","rr_ret","r_rlt_rel","rr_rel","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt_fq","rr_fqr","rr_fqr_bdqr_lzdr","rr_fqr_bdqs_lzdr","rr_fqr_bdqu_lzdr","rr_fqr_bdqr_lzds","rr_fqr_bdqs_lzds","rr_fqr_bdqu_lzds","rr_fqr_bdqr_lzdu","rr_fqr_bdqs_lzdu","rr_fqr_bdqu_lzdu","rr_dst_rlt_bdq","rr_bdqr","newrel_tbhiv_flg","newrel_hivtest","newrel_hivpos","newrel_art","tbhiv_014_flg","newrel_hivtest_014","newrel_hivpos_014","newrel_art_014","hiv_tbrx_art","hiv_tbdetect","hiv_reg_new2","hiv_all_tpt","hiv_all","hiv_new_tpt","hiv_new","hiv_all_tpt_completed","hiv_all_tpt_started","tbhiv_surveil","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu","vr_data_available","total_deaths_vr","r00_r99_deaths_vr","tbdeaths_vr"
"Afghanistan","AF",2023,24316,10976,13162,823,143,113,146,,48454,49533,1225,49679,24316,969,0,0,1,221,2977,,,2769,,,,4132,3222,2000,1831,2227,3228,16640,0,2234,,,2911,,,,5444,4509,3243,3034,3058,2714,22002,0,10891,60,22462,,,,49167,49167,512,458,6,54,36,36,0,,0,,1,27,1,346,1,127,154,20841,969,442,70,,,14744,181,350,118,229,70,204,70,512,36,0,0,36,0,0,0,0,0,0,0,0,1,42764,11,11,,,,,11,11,212,,,,,,,0,,,,,,,,,0,,,
"Albania","AL",2023,156,51,67,21,3,4,0,0,274,302,28,302,156,21,0,0,,221,3,,,3,,,,28,26,29,26,30,52,191,0,2,,,0,,,,22,22,10,5,14,30,103,0,8,60,274,,,,297,297,5,5,0,0,0,0,0,,0,,0,,0,,3,,0,156,21,1,4,,,118,11,0,3,1,3,0,3,5,0,,,,,,,,,,,,1,285,3,3,,,,,3,3,99,,,,,,,0,,,,,,,,,1,7,3,4
"Algeria","DZ",2023,4635,796,13141,232,,,99,,18572,18804,331,18903,4635,331,0,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,0,0,0,18572,0,16,9,0,0,7,0,0,,0,,,,,,,,,46,27,10,9,,,46,27,19,15,10,9,7,6,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"American Samoa","AS",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andorra","AD",2023,4,,,,,,0,0,4,4,0,4,4,,,0,,220,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,1,1,2,,,60,0,,,,4,4,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,3,,0,,,,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Angola","AO",2023,31219,27449,3325,1739,1141,39,3356,,61993,64912,6275,68268,30844,4880,375,18,1,220,1337,1077,1369,,,3649,5262,,9322,5976,4176,1929,1461,31775,769,1103,1065,1606,,,3514,4130,,6554,4035,3351,1532,1146,24262,549,7557,60,1158,,,,66773,66773,1495,1495,0,8,0,0,0,,0,,0,,0,,1,1495,0,29109,3100,966,529,1739,192,966,529,966,529,966,529,966,529,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48778,3850,2867,,,,,4008,3850,43948,,,20998,43948,,,0,,,,,,,,,,,,
"Anguilla","AI",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda","AG",2023,0,1,0,0,0,0,1,,1,1,1,2,0,0,0,1,1,220,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,0,0,0,0,1,0,0,60,1,,,,1,1,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,1,0,0,0
"Argentina","AR",2023,9750,2154,1566,332,84,19,1009,,13470,13905,1444,14914,7714,1142,2036,1477,1,220,183,153,235,,,638,1030,,1920,1361,1149,847,736,7681,59,156,130,237,,,542,701,,1233,848,658,496,551,5029,42,1094,62,,2704,195,510,14686,12981,204,204,13,10,11,11,0,,0,,0,,1,228,0,,228,3637,623,112,72,,,2366,458,105,50,71,51,40,32,102,9,0,0,0,2,7,0,0,0,0,102,2,1,3698,1134,720,1,232,7,5,720,161,3624,,,,,,,0,,,,,,,,,0,,,
"Armenia","AM",2023,180,92,105,18,6,3,31,27,377,404,58,435,180,45,0,10,1,221,5,,,5,,,,14,41,59,64,60,40,278,0,6,,,11,,,,14,14,24,12,15,20,99,0,27,62,,198,85,50,386,386,39,39,1,1,10,10,0,,0,,1,1,1,31,1,17,50,180,45,30,19,,,180,45,51,21,30,19,26,18,49,10,0,0,0,2,6,0,0,0,2,35,2,1,377,43,35,,,,,35,23,486,,,135,486,,,0,,,,,,,,,0,,,
"Aruba","AW",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australia","AU",2023,767,90,497,59,2,19,0,,1354,1434,80,1434,758,59,9,1285,1,222,,,,,19,,,98,168,135,76,93,188,758,0,,,,,25,,,91,194,116,66,61,104,632,0,44,0,,,,,1411,1114,22,20,0,0,1,1,0,,1,,1,,1,,1,,21,613,41,17,4,,,609,40,61,5,17,4,15,4,16,1,0,0,0,0,0,0,0,0,1,1,0,1,1260,23,,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Austria","AT",2023,297,9,92,9,2,2,10,0,398,411,23,421,228,17,69,275,1,220,2,1,3,,,25,33,,51,37,27,36,56,265,0,1,3,2,,,5,11,,23,17,18,21,39,134,0,12,62,,230,6,60,412,0,7,0,0,0,2,0,,,,,,,,,,,,196,9,5,3,,,196,9,17,3,5,3,5,3,8,2,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Azerbaijan","AZ",2023,1634,532,650,1101,34,14,1079,,2816,3965,2228,5044,1634,2180,0,0,1,221,13,,,55,,,,424,492,422,515,551,241,2645,,12,,,59,,,,226,308,157,128,205,157,1181,,139,60,3955,,,,4109,3954,935,900,0,3,165,158,0,,0,,0,,1,808,1,122,0,1611,2150,188,742,1093,48,1611,2149,246,381,188,540,106,223,930,164,34,43,,37,28,,12,10,,224,27,1,3965,60,60,,,,,60,32,863,1349,7452,838,863,331,551,0,,,,,,,,,1,60150,60150,392
"Bahamas","BS",2023,6,20,1,0,0,0,0,,27,27,0,27,6,0,0,12,1,220,0,0,2,,,0,1,,5,3,3,4,3,19,0,0,0,0,,,1,0,,3,0,1,1,0,6,0,2,62,,6,20,1,27,27,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,6,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,9,7,1,2,0,0,7,0,399,,,0,399,,,0,,,,,,,,,1,,,
"Bahrain","BH",2023,98,6,57,2,0,0,0,,161,163,2,163,98,2,0,133,1,221,1,,,1,,,,13,26,32,16,2,8,97,0,2,,,1,,,,8,26,14,8,3,2,61,0,5,60,128,,,,160,160,3,3,0,0,1,1,3,,3,,,,,,,,,98,2,2,0,,,97,2,7,0,2,0,1,0,2,1,,,,,,,,,,,,0,118,6,6,,,,,6,3,56,,,,,,,0,,,,,,,,,1,7,,
"Bangladesh","BD",2023,160827,52933,66370,11449,7983,3251,873,,280130,302813,23556,303686,160815,12115,12,0,1,221,1263,,,5279,,,,15361,19911,23893,28610,35822,42583,166180,0,951,,,5781,,,,19204,21828,23283,23714,20541,14789,123359,0,13274,60,87957,,,,301624,301624,2743,2062,0,28,99,94,0,,0,,1,12,1,210,1,1612,2156,104623,10316,1878,594,10165,586,227,465,100,193,208,366,90,180,1339,99,,,,,,,,,,14,0,0,112743,61,48,,,,,91,93,1137,,,91,1137,,,0,,,,,,,,,0,,,
"Barbados","BB",2023,2,0,0,0,0,0,0,,2,2,0,2,2,0,0,2,0,220,0,0,0,,,0,0,,0,1,0,0,0,1,0,0,0,0,,,0,0,,0,1,0,0,0,1,0,0,60,2,,,,2,2,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,2,0,0,0,,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,132,0,1430,0,132,,,0,,,,,,,,,0,,,
"Belarus","BY",2023,1117,71,86,272,2,7,126,12,1274,1555,407,1681,1117,377,0,0,1,220,2,1,6,,,9,21,,85,273,356,305,137,1186,0,1,2,1,,,6,7,,38,70,74,46,115,356,0,13,60,1451,,,,983,983,450,419,0,2,244,214,3,,0,,1,221,1,181,1,231,452,1117,377,405,253,272,185,1117,377,431,260,405,253,371,249,658,244,4,7,,9,224,,,,,546,12,1,1542,126,116,,,,,,17,1222,,,450,1222,915,979,0,,,,,,,,,0,,,
"Belgium","BE",2023,152,36,65,,,,616,74,253,253,616,869,35,369,117,558,1,220,1,1,1,,,28,23,,49,21,34,17,20,192,0,1,0,2,,,1,4,,16,17,5,4,8,55,0,6,62,,0,0,0,858,498,11,9,0,0,0,0,0,,0,,1,7,0,,1,8,15,35,364,1,8,,,35,361,1,24,1,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,111300,,
"Belize","BZ",2023,64,7,0,9,1,0,0,,71,81,10,81,64,9,0,10,1,220,1,0,0,,,2,4,,11,23,5,7,9,61,0,0,0,0,,,2,3,,1,3,4,2,4,19,0,1,62,,73,8,0,76,76,3,3,0,0,1,1,0,,0,,0,,0,,1,1,1,59,9,1,2,,,,,,,,,,,2,0,,,,,,,,,,,,1,78,12,11,1,0,0,0,11,3,193,185,1766,63,193,,,0,,,,,,,,,1,2280,,9
"Benin","BJ",2023,3419,420,284,182,0,0,90,,4123,4305,272,4395,3419,272,0,0,1,221,32,,,41,,,,368,702,700,549,310,196,2825,0,42,,,67,,,,286,336,270,205,105,96,1298,0,182,60,2832,,,,4351,4351,44,36,0,4,1,1,0,,0,,0,,0,,1,36,36,3419,272,24,20,,,21,82,10,10,21,15,10,6,44,1,,,,,,,,,,,,1,4152,499,472,,,,,529,310,9833,10144,58505,,,,,0,,,,,,,,,0,,,
"Bermuda","BM",2023,2,0,0,0,0,0,0,,2,2,0,2,2,0,0,2,1,220,0,0,0,,,0,0,,0,2,0,0,0,2,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,60,0,,,,2,2,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,1,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,0,,,
"Bhutan","BT",2023,465,45,283,35,1,11,24,,793,840,71,864,464,51,1,4,1,221,2,,,12,,,,118,110,70,34,36,40,408,0,1,,,7,,,,175,119,52,15,22,27,410,0,22,60,692,,,,801,801,59,59,0,0,4,4,0,,0,,0,,1,28,1,35,63,464,51,47,5,,,355,28,52,6,36,4,35,4,34,4,,,,,,,,,4,0,0,0,864,6,6,,,,,1,1,1,,,,,,,0,,,,,,,,,0,,,
"Bolivia (Plurinational State of)","BO",2023,6628,455,1568,646,0,25,269,,8651,9322,940,9591,6628,915,0,0,1,221,36,,,103,,,,1141,1357,882,756,754,1045,5935,1,22,,,124,,,,632,653,435,357,367,657,3101,0,285,60,3287,,,,9301,9301,145,109,0,0,0,0,0,,0,,0,,0,,1,79,109,6427,847,94,51,,,6427,847,68,46,94,51,55,33,29,0,,,,,,,,,,,,0,8537,474,,0,,,,269,,,,,1791,3269,,,0,,,,,,,,,0,,,
"Bosnia and Herzegovina","BA",2023,352,25,34,31,2,0,2,0,411,444,35,446,352,31,0,3,1,220,0,1,0,,,1,12,,30,23,45,62,80,253,0,0,0,0,,,3,8,,31,15,18,20,95,190,,1,0,,,,,137,137,0,0,0,0,,,1,9,0,,0,,,,0,,,343,25,0,0,,,146,19,10,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,
"Botswana","BW",2023,1421,92,203,29,6,2,0,,1716,1753,37,1753,1389,29,32,35,,221,43,,,29,,,,100,179,237,205,126,128,975,0,30,,,35,,,,121,149,136,106,66,63,641,0,137,62,,1450,98,205,1697,1697,56,56,0,0,0,0,0,,0,,1,10,1,0,1,46,56,1389,29,56,0,,,56,0,56,0,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1526,676,599,1,103,17,15,1337,587,8878,32332,339716,,,30209,32332,0,,,,,,,,,0,,,
"Brazil","BR",2023,57187,17373,10263,5400,1511,451,13519,,84823,92185,20881,105704,56906,15132,281,843,1,220,776,365,488,,,2554,6923,,15678,12946,10065,7784,6658,62608,50,553,325,599,,,1938,2937,,5397,5067,4096,3342,3635,26412,9,3106,62,,39262,3311,3253,104332,104332,1372,768,69,9,23,23,0,,0,,0,,1,763,0,,0,36873,10621,814,451,,,9042,2834,282,147,219,135,79,47,202,23,0,1,0,0,2,0,0,3,17,20,0,1,77648,9017,4703,1,2073,66,31,4217,,,,,,,,,0,,,,,,,,,1,1463546,74734,6668
"British Virgin Islands","VG",2023,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,220,0,0,0,,,0,0,,0,0,0,0,0,0,,0,0,0,,,0,0,,0,0,0,0,0,0,,0,5,,,,,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,1,0,0,0
